Country,FullYear,StartYear,Name,API_ID,Alpha2,Alpha3,ISONum,WorldBankID,EverMarried,Survey,BR,Couples,PR,MR,Strata,EventFile
Bangladesh,2017-18,2017,Bangladesh,BD2017DHS,BD,BGD,50,BD,1,BDIR7RFL,BDBR7RFL,,BDPR7RFL,,v022,BDIR7RFLevent
Bangladesh,2014,2014,Bangladesh,BD2014DHS,BD,BGD,50,BD,1,BDIR72FL,BDBR72FL,,BDPR72FL,,v022,BDIR72FLevent
Ethiopia,2019,2019,Ethiopia,ET2019DHS,ET,ETH,231,ET,,ETIR81FL,ETBR81FL,,ETPR81FL,,v022,
Ethiopia,2016,2016,Ethiopia,ET2016DHS,ET,ETH,231,ET,,ETIR70FL,ETBR70FL,ETCR71FL,ETPR71FL,ETMR71FL,v022,ETIR70FLevent
Ethiopia,2011,2011,Ethiopia,ET2011DHS,ET,ETH,231,ET,,ETIR61FL,ETBR61FL,ETCR61FL,ETPR61FL,ETMR61FL,v022,ETIR61FLevent
Ghana,2014,2014,Ghana,GH2014DHS,GH,GHA,288,GH,,GHIR72FL,GHBR72FL,GHCR71FL,GHPR72FL,GHMR71FL,v022,GHIR72FLevent
Ghana,2008,2008,Ghana,GH2008DHS,GH,GHA,288,GH,,GHIR5AFL,GHBR5AFL,GHCR5AFL,GHPR5AFL,GHMR5AFL,v022,GHIR5AFLevent
India,2019-2021,2019,India,IA2020DHS,IN,IND,356,IN,,IAIR7DFL,IABR7DFL,IACR7DFL,IAPR7DFL,IAMR7DFL,v022,
India,2015-16,2015,India,IA2015DHS,IN,IND,356,IN,,IAIR73FL,IABR74FL,IACR74FL,IAPR74FL,IAMR74FL,v022,IAIR73FLevent
Indonesia,2017,2017,Indonesia,ID2017DHS,ID,IDN,360,ID,,IDIR71FL,IDBR71FL,IDCR71FL,IDPR71FL,IDMR71FL,v022,IDIR71FLevent
Indonesia,2012,2012,Indonesia,ID2012DHS,ID,IDN,360,ID,,IDIR63FL,IDBR63FL,IDCR63FL,IDPR63FL,IDMR63FL,v022,
Kenya,2022,2022,Kenya,KE2022DHS,KE,KEN,404,KE,,KEIR8AFL,KEBR8AFL,KECR8AFL,KEPR8AFL,KEMR8AFL,v022,
Kenya,2014,2014,Kenya,KE2014DHS,KE,KEN,404,KE,,KEIR72FL,KEBR72FL,KECR72FL,KEPR72FL,KEMR72FL,v022,KEIR72FLevent
Malawi,2015-16,2015,Malawi,MW2015DHS,MW,MWI,454,MW,,MWIR7AFL,MWBR7AFL,MWCR7AFL,MWPR7AFL,MWMR7AFL,v022,MWIR7AFLevent
Malawi,2010,2010,Malawi,MW2010DHS,MW,MWI,454,MW,,MWIR61FL,MWBR61FL,MWCR61FL,MWPR61FL,MWMR61FL,v022,MWIR61FLevent
Nepal,2022,2022,Nepal,NP2022DHS,NP,NPL,524,NP,,NPIR81FL,NPBR81FL,NPCR81FL,NPPR81FL,NPMR81FL,v022,
Nepal,2016,2016,Nepal,NP2016DHS,NP,NPL,524,NP,,NPIR7HFL,NPBR7HFL,NPCR7HFL,NPPR7HFL,NPMR7HFL,v022,NPIR7HFLevent
Nigeria,2018,2018,Nigeria,NG2018DHS,NG,NGA,566,NG,,NGIR7AFL,NGBR7AFL,NGCR7AFL,NGPR7AFL,NGMR7AFL,v022,NGIR7AFLevent
Nigeria,2013,2013,Nigeria,NG2013DHS,NG,NGA,566,NG,,NGIR6AFL,NGBR6AFL,NGCR6AFL,NGPR6AFL,NGMR6AFL,v022,NGIR6AFLevent
Pakistan,2017-18,2017,Pakistan,PK2017DHS,PK,PAK,586,PK,1,PKIR71FL,PKBR71FL,PKCR71FL,PKPR71FL,PKMR71FL,v022,PKIR71FLevent
Pakistan,2012-13,2012,Pakistan,PK2012DHS,PK,PAK,586,PK,1,PKIR61FL,PKBR61FL,,PKPR61FL,PKMR61FL,v023,
Philippines,2022,2022,Philippines,PH2022DHS,PH,PHL,608,PH,,PHIR81FL,PHBR81FL,,PHPR81FL,,v022,
Philippines,2017,2017,Philippines,PH2017DHS,PH,PHL,608,PH,,PHIR70FL,PHBR70FL,,PHPR71FL,,v022,
Rwanda,2019,2019,Rwanda,RW2019DHS,RW,RWA,646,RW,,RWIR81FL,RWBR81FL,RWCR81FL,RWPR81FL,RWMR81FL,v023,
Rwanda,2014-15,2014,Rwanda,RW2015DHS,RW,RWA,646,RW,,RWIR70FL,RWBR70FL,RWCR70FL,RWPR70FL,RWMR70FL,v023,RWIR70FLevent
Sierra Leone,2019,2019,Sierra Leone,SL2019DHS,SL,SLE,694,SL,,SLIR7AFL,SLBR7AFL,SLCR7AFL,SLPR7AFL,SLMR7AFL,v022,SLIR7AFLevent
Sierra Leone,2013,2013,Sierra Leone,SL2013DHS,SL,SLE,694,SL,,SLIR61FL,SLBR61FL,SLCR61FL,SLPR61FL,SLMR61FL,v022,SLIR61FLevent
Tanzania,2015-16,2015,"Tanzania, United Republic of",TZ2015DHS,TZ,TZA,834,TZ,,TZIR7BFL,TZBR7BFL,TZCR7BFL,TZPR7BFL,TZMR7BFL,v022,TZIR7BFLevent
Tanzania,2010,2010,"Tanzania, United Republic of",TZ2010DHS,TZ,TZA,834,TZ,,TZIR63FL,TZBR63FL,TZCR63FL,TZPR63FL,TZMR61FL,v022,TZIR63FLevent
Uganda,2016,2016,Uganda,UG2016DHS,UG,UGA,800,UG,,UGIR7BFL,UGBR7BFL,UGCR7BFL,UGPR7BFL,UGMR7BFL,v022,UGIR7BFLevent
Uganda,2011,2011,Uganda,UG2011DHS,UG,UGA,800,UG,,UGIR60FL,UGBR60FL,UGCR61FL,UGPR61FL,UGMR61FL,v024 v025,UGIR60FLevent
Zambia,2018,2018,Zambia,ZM2018DHS,ZM,ZMB,894,ZM,,ZMIR71FL,ZMBR71FL,ZMCR71FL,ZMPR71FL,ZMMR71FL,v022,ZMIR71FLevent
Zambia,2013-14,2013,Zambia,ZM2013DHS,ZM,ZMB,894,ZM,,ZMIR61FL,ZMBR61FL,ZMCR61FL,ZMPR61FL,ZMMR61FL,v022,ZMIR61FLevent
